period,Acousticien,Acousticienne,Agente de maintenance du bâtiment,Architecte,Ascensoriste,BIM Manager,Canalisatrice,Carreleuse,Charpentière bois,Charpentière métallique,Cheffe de chantier,Coffreuse-boiseuse,Conductrice d'engins de BTP,Conductrice de travaux,Constructrice de route,Couvreuse,Dessinatrice en bâtiment,Diagnostiqueuse immobilier,Domoticienne,Echafaudeuse,Electricienne du bâtiment,Etanchéiste,Façadière,Foreur,Géomaticien,Géomètre Expert,Géomètre topographe,Grutier,Grutière,Ingénieure en efficacité énergétique,Installatrice de panneaux solaires,Maçonne,Matiériste - coloriste,Mécanicienne d'engins de chantier,Menuisier,Menuisière,Métreuse vérificatrice,Miroitière,Monteur en installations sanitaires,Monteur en installations thermiques,Monteur levageuse,Monteuse levageuse,Opérateur de démolition,Parqueteur,Parqueteuse,Peintre en bâtiment,Peintre en décors,Piscinière,Plaquiste,Plaquiste Bois,Plâtrière,Plombière,Plongeur professionnel,Serrurière metallière,Solière-moquettiste,Staffeuse ornemaniste,Terrassier,Tourneur Fraiseur,Urbaniste
2014_S2,0,0,40,40,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015_S1,0,0,40,20,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015_S2,0,0,40,30,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_S1,0,0,60,90,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_S2,0,0,35,100,0,5,0,0,0,20,20,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017_S1,0,0,75,170,0,60,0,0,10,30,50,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017_S2,0,0,75,229,0,75,15,0,0,30,100,0,0,0,75,0,10,0,0,0,0,0,0,0,0,0,100,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018_S1,0,0,75,229,0,230,0,0,5,30,100,0,0,0,90,0,10,0,0,0,0,0,0,0,0,0,135,0,65,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018_S2,0,0,75,239,0,220,20,0,0,50,160,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,140,0,70,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_S1,0,0,100,249,0,162,20,0,0,80,190,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,180,0,90,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_S2,0,0,100,249,0,137,20,0,0,80,190,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,185,0,90,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020_S1,0,0,100,249,0,135,20,0,0,80,90,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,260,0,90,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020_S2,0,0,100,249,0,135,20,0,0,80,90,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,260,0,90,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021_S1,0,0,100,169,0,90,20,0,0,80,90,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,80,0,85,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021_S2,0,0,100,169,0,90,20,0,0,80,90,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,80,0,85,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022_S1,0,0,100,169,0,90,20,0,0,80,90,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,80,0,85,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022_S2,0,0,100,169,0,90,20,0,0,80,90,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,80,0,85,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
